nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"[Seri 2010] 1. PDB Triwulanan Atas Dasar Harga Berlaku menurut Pengeluaran";"Tidak Ada";2022;Tahunan;19588445.6;"8. PRODUK DOMESTIK BRUTO"
"[Seri 2010] 1. PDB Triwulanan Atas Dasar Harga Berlaku menurut Pengeluaran";"Tidak Ada";2021;Tahunan;16976690.8;"8. PRODUK DOMESTIK BRUTO"
"[Seri 2010] 1. PDB Triwulanan Atas Dasar Harga Berlaku menurut Pengeluaran";"Tidak Ada";2020;Tahunan;15443353.2;"8. PRODUK DOMESTIK BRUTO"
"[Seri 2010] 1. PDB Triwulanan Atas Dasar Harga Berlaku menurut Pengeluaran";"Tidak Ada";2019;Tahunan;15832657.2;"8. PRODUK DOMESTIK BRUTO"
"[Seri 2010] 1. PDB Triwulanan Atas Dasar Harga Berlaku menurut Pengeluaran";"Tidak Ada";2018;Tahunan;14838756;"8. PRODUK DOMESTIK BRUTO"
