nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;2204660.23311;"JAWA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;1419986.61849;"JAWA TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;149408.40402;"DI YOGYAKARTA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;2454716.48488;"JAWA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;665887.47265;BANTEN
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;220467.45378;BALI
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;140115.96615;"NUSA TENGGARA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;110881.46163;"NUSA TENGGARA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;231321.16328;"KALIMANTAN BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;169654.31089;"KALIMANTAN TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;197879.00235;"KALIMANTAN SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;696584.49842;"KALIMANTAN TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;110668.94163;"KALIMANTAN UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;142615.01959;"SULAWESI UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;247328.39457;"SULAWESI TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;545172.67569;"SULAWESI SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;139463.62859;"SULAWESI TENGGARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;43896.48626;GORONTALO
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;50565.51477;"SULAWESI BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;48642.31883;MALUKU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;52481.30108;"MALUKU UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;85078.41582;"PAPUA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;235486.12059;PAPUA
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;166372.32074;ACEH
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;811188.30884;"SUMATERA UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;241894.12768;"SUMATERA BARAT"
