nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2022;"Semester 2 (September)";0.381;INDONESIA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 2 (September)";0.381;INDONESIA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 2 (September)";0.385;INDONESIA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 2 (September)";0.38;INDONESIA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 2 (September)";0.384;INDONESIA
